,Weight
MPWR,0.5974185
Cash,0.40001312
MTD,0.0025683613
FICO,1.0749461e-12
BKNG,2.1557363e-13
IP,4.0018312e-14
PTC,3.92834e-14
GRMN,3.8973887e-14
FFIV,3.7787532e-14
TRGP,3.7611068e-14
AMP,3.706261e-14
IBM,3.6315145e-14
PM,3.3679155e-14
WAT,3.3638792e-14
IRM,3.3623847e-14
JPM,3.29968e-14
WAB,3.2897008e-14
ZBRA,3.27124e-14
ICE,3.258619e-14
FDS,3.2566604e-14
LIN,3.184057e-14
NVR,3.1826247e-14
URI,3.025702e-14
AKAM,3.015868e-14
CE,2.9985224e-14
MLM,2.994078e-14
CMI,2.9623094e-14
MSCI,2.94881e-14
AXON,2.939716e-14
PNR,2.9316258e-14
CEG,2.901493e-14
INTC,2.869383e-14
ZION,2.8665797e-14
WFC,2.8653414e-14
POOL,2.8574304e-14
IT,2.852357e-14
AIZ,2.8407203e-14
NWL,2.814191e-14
AVGO,2.7729689e-14
COST,2.7674227e-14
KEYS,2.7588546e-14
KEY,2.7394003e-14
INTU,2.7291693e-14
REGN,2.7013158e-14
BR,2.7007007e-14
AZO,2.6896418e-14
ACN,2.6489165e-14
PSX,2.6364495e-14
BLK,2.636207e-14
AMGN,2.630103e-14
MCO,2.6192237e-14
EQIX,2.6187636e-14
RHI,2.6162444e-14
ANET,2.6054964e-14
TDG,2.5869716e-14
SLB,2.586057e-14
EBAY,2.5803686e-14
NRG,2.5488436e-14
DHR,2.5427885e-14
AFL,2.5411812e-14
MA,2.5245551e-14
NDAQ,2.5192674e-14
MAR,2.502801e-14
GEN,2.5009834e-14
ADBE,2.496491e-14
ABBV,2.4867676e-14
HAL,2.4694985e-14
AMZN,2.4583124e-14
WMB,2.4482008e-14
V,2.4459052e-14
STE,2.4366153e-14
CME,2.4267441e-14
LLY,2.4248512e-14
MU,2.4073581e-14
SPG,2.3905436e-14
COP,2.3770057e-14
APH,2.3739938e-14
NVDA,2.3724724e-14
PAYC,2.3638726e-14
AXP,2.3501907e-14
PFG,2.3393735e-14
TDY,2.3381804e-14
APA,2.333542e-14
MPC,2.3317924e-14
PRU,2.3217014e-14
EOG,2.31827e-14
AVY,2.3124274e-14
LH,2.3055112e-14
CTAS,2.3008132e-14
ESS,2.2868556e-14
GWW,2.2838185e-14
RVTY,2.2795401e-14
QRVO,2.2666998e-14
BIO,2.2661438e-14
FANG,2.2589811e-14
TYL,2.253367e-14
CARR,2.2523902e-14
BKR,2.2482016e-14
HLT,2.246217e-14
GS,2.243716e-14
CBRE,2.2436126e-14
CSCO,2.2354877e-14
A,2.2324875e-14
CRM,2.2181331e-14
EPAM,2.2131724e-14
TT,2.197658e-14
RL,2.1973202e-14
PCAR,2.1949148e-14
BXP,2.1942773e-14
SNA,2.1805764e-14
PNC,2.1789423e-14
J,2.1628939e-14
PWR,2.1536063e-14
TMO,2.1497217e-14
PH,2.1435853e-14
USB,2.1394519e-14
OKE,2.139204e-14
TFX,2.133685e-14
AMD,2.1276214e-14
IDXX,2.1264849e-14
ADI,2.121804e-14
ETN,2.1210347e-14
PHM,2.1161585e-14
RSG,2.115344e-14
HIG,2.1073719e-14
QCOM,2.096168e-14
FRT,2.0864849e-14
NDSN,2.0833753e-14
CBOE,2.0800405e-14
WMT,2.0784022e-14
PKG,2.0711877e-14
GNRC,2.0647543e-14
ADSK,2.0640965e-14
RJF,2.0595386e-14
MHK,2.0588977e-14
MOH,2.0546917e-14
FCX,2.0510738e-14
ILMN,2.049187e-14
HES,2.0418749e-14
VTRS,2.0415191e-14
DLR,2.0366296e-14
CFG,2.0286117e-14
CVS,2.0194634e-14
ETR,2.0193603e-14
CAT,2.015629e-14
MET,2.0106502e-14
SYF,2.0073088e-14
EXPE,2.0002597e-14
CDW,1.9912684e-14
VLO,1.9847554e-14
VRTX,1.982197e-14
REG,1.9818006e-14
FTV,1.969752e-14
EXPD,1.9653802e-14
VRSK,1.9629579e-14
TSCO,1.9405916e-14
DE,1.9385225e-14
PPL,1.9382453e-14
META,1.9355372e-14
MGM,1.9318933e-14
DUK,1.9284641e-14
ANSS,1.9277121e-14
GPN,1.9146927e-14
MMM,1.9128452e-14
TSN,1.9087757e-14
STX,1.904806e-14
CRL,1.8997545e-14
ACGL,1.8961973e-14
L,1.8942686e-14
WDC,1.8931237e-14
MKTX,1.8850683e-14
IQV,1.883025e-14
GE,1.8798683e-14
NFLX,1.8787577e-14
EFX,1.8712586e-14
ALGN,1.868049e-14
GILD,1.8623148e-14
PAYX,1.8523725e-14
ECL,1.8508005e-14
LRCX,1.8480932e-14
SPGI,1.8463927e-14
BAC,1.8411735e-14
PANW,1.8374684e-14
KLAC,1.8308532e-14
CHTR,1.8293957e-14
SWKS,1.8279318e-14
LDOS,1.8245739e-14
UNP,1.8215005e-14
SO,1.8205476e-14
IFF,1.8158376e-14
EIX,1.8115085e-14
TFC,1.7916793e-14
HBAN,1.791229e-14
LYV,1.7909453e-14
LEN,1.7906385e-14
ALL,1.7882765e-14
NEM,1.7770387e-14
VTR,1.7770285e-14
HD,1.77292e-14
IR,1.768443e-14
VFC,1.7681603e-14
PNW,1.7647469e-14
CB,1.7636685e-14
AON,1.7604941e-14
ALK,1.7568212e-14
GOOGL,1.7517465e-14
PYPL,1.7480802e-14
TRMB,1.7480478e-14
ORCL,1.7457986e-14
ADP,1.7437459e-14
EXR,1.7432575e-14
ENPH,1.7376405e-14
HII,1.7350823e-14
CTRA,1.7321536e-14
NTAP,1.7239738e-14
SRE,1.7181553e-14
KMI,1.7168194e-14
DGX,1.7072938e-14
ROL,1.7014532e-14
JKHY,1.6909761e-14
CMA,1.6900562e-14
EQT,1.6883752e-14
ATO,1.6881487e-14
ETSY,1.6802457e-14
DD,1.679024e-14
IEX,1.6715169e-14
CF,1.6682107e-14
TER,1.6670113e-14
PLD,1.6660742e-14
AJG,1.6646146e-14
ROK,1.662907e-14
TXN,1.6558718e-14
CMG,1.6481533e-14
PSA,1.6474354e-14
LUV,1.6465668e-14
MMC,1.6454e-14
APD,1.6433794e-14
JNJ,1.639484e-14
LNT,1.6386156e-14
JBHT,1.63517e-14
CMS,1.6319528e-14
WRB,1.6250354e-14
SWK,1.6232123e-14
FDX,1.6231386e-14
WHR,1.6223346e-14
MAS,1.6222541e-14
AVB,1.6123513e-14
AEE,1.6114461e-14
PEG,1.5981555e-14
TECH,1.5919049e-14
NOW,1.5863458e-14
CI,1.5693742e-14
NI,1.5675146e-14
NXPI,1.5645671e-14
GD,1.5608617e-14
ED,1.5567398e-14
FITB,1.5533732e-14
NEE,1.5519006e-14
MSFT,1.5496205e-14
MTB,1.5431219e-14
FTNT,1.5334171e-14
DHI,1.5300485e-14
D,1.529301e-14
OMC,1.5078526e-14
DTE,1.5059665e-14
MTCH,1.5015573e-14
ALLE,1.4935542e-14
EXC,1.4912645e-14
INVH,1.4826116e-14
EA,1.4752388e-14
ISRG,1.4741865e-14
MS,1.4723559e-14
NTRS,1.4723237e-14
EVRG,1.4719867e-14
WELL,1.4715048e-14
SHW,1.470765e-14
STT,1.4662943e-14
OXY,1.4623451e-14
CNP,1.4617771e-14
O,1.4612294e-14
MCHP,1.4600973e-14
ON,1.4565585e-14
PGR,1.4505883e-14
FI,1.4404158e-14
AWK,1.4393546e-14
DVN,1.4359047e-14
CZR,1.4323009e-14
CPT,1.4294479e-14
PFE,1.427449e-14
RF,1.427434e-14
PCG,1.4161484e-14
KO,1.4034124e-14
AEP,1.3877629e-14
AOS,1.3847405e-14
CVX,1.38255996e-14
EQR,1.38033954e-14
TXT,1.3789963e-14
HST,1.3774751e-14
IVZ,1.3772605e-14
BA,1.3747748e-14
TRV,1.3707511e-14
FE,1.3668769e-14
ORLY,1.3645613e-14
WTW,1.3572631e-14
ROP,1.3546903e-14
TTWO,1.3412536e-14
T,1.33946106e-14
MRNA,1.3355415e-14
KR,1.3328654e-14
WST,1.3279898e-14
NUE,1.3274137e-14
MDT,1.3266184e-14
OGN,1.3230351e-14
MSI,1.3187159e-14
BK,1.3182035e-14
LHX,1.3176789e-14
TAP,1.3174637e-14
C,1.3120536e-14
ZTS,1.3102076e-14
ITW,1.3072933e-14
ABT,1.3060428e-14
UNH,1.3058494e-14
BEN,1.3048098e-14
DIS,1.3028549e-14
ODFL,1.3013794e-14
GEHC,1.2981014e-14
KDP,1.2927042e-14
MAA,1.2866945e-14
FSLR,1.282945e-14
OTIS,1.2800738e-14
COF,1.2767668e-14
CHRW,1.27659825e-14
VMC,1.2744111e-14
CL,1.2742415e-14
STZ,1.2687905e-14
FIS,1.2659571e-14
DOV,1.2658656e-14
MCK,1.2658555e-14
TSLA,1.2623192e-14
AMAT,1.2621461e-14
HPQ,1.2609437e-14
AAPL,1.2579062e-14
XEL,1.252478e-14
SEE,1.2511225e-14
LW,1.2470898e-14
BIIB,1.242961e-14
WEC,1.24002345e-14
SEDG,1.2361743e-14
ES,1.22983255e-14
PG,1.2295878e-14
RCL,1.226941e-14
LVS,1.2265773e-14
LMT,1.2254502e-14
UAL,1.2128823e-14
XOM,1.208365e-14
HRL,1.2082837e-14
MOS,1.2074878e-14
WBD,1.2018459e-14
EMN,1.1986043e-14
KIM,1.1979453e-14
GL,1.1883548e-14
SCHW,1.1838507e-14
F,1.1806663e-14
NKE,1.1792968e-14
NSC,1.1762876e-14
BBWI,1.17618885e-14
DXCM,1.1737589e-14
TMUS,1.1727136e-14
BG,1.1666216e-14
EW,1.1560814e-14
CPRT,1.1559727e-14
BRO,1.1425738e-14
CINF,1.1414648e-14
BALL,1.1369988e-14
HOLX,1.13411605e-14
CSX,1.12971546e-14
LOW,1.1292072e-14
CNC,1.1210054e-14
AAP,1.1144212e-14
CHD,1.1071014e-14
DPZ,1.10542086e-14
DLTR,1.101082e-14
NOC,1.09528916e-14
CAH,1.08886644e-14
AMT,1.08224536e-14
UDR,1.0815365e-14
AMCR,1.0751445e-14
BWA,1.0726427e-14
HWM,1.07159985e-14
DVA,1.0715548e-14
LYB,1.06677294e-14
IPG,1.0652679e-14
TJX,1.061927e-14
BDX,1.0605329e-14
DAL,1.0589846e-14
EMR,1.0530377e-14
APTV,1.0519586e-14
GLW,1.0479729e-14
BRK.B,1.0458041e-14
SBAC,1.0443874e-14
LNC,1.043855e-14
UPS,1.04025675e-14
DXC,1.0392246e-14
SYK,1.0384066e-14
WBA,1.03712535e-14
INCY,1.0333467e-14
WM,1.03099165e-14
CTSH,1.0257532e-14
VZ,1.0244756e-14
XRAY,1.01059476e-14
MDLZ,1.01045635e-14
HPE,1.00660015e-14
WYNN,1.00548545e-14
ULTA,1.00155564e-14
NCLH,9.9899e-15
PEP,9.968227e-15
KMX,9.928902e-15
CSGP,9.873687e-15
ARE,9.847978e-15
MKC,9.799579e-15
CCL,9.779415e-15
SBUX,9.727126e-15
AIG,9.699186e-15
JCI,9.657267e-15
EL,9.647744e-15
AES,9.614544e-15
BSX,9.563852e-15
CCI,9.5562376e-15
STLD,9.541414e-15
ELV,9.510101e-15
SYY,9.383478e-15
YUM,9.3085296e-15
RTX,9.286542e-15
CTVA,9.25851e-15
VRSN,9.238866e-15
DRI,9.23101e-15
HCA,9.134153e-15
ADM,9.078553e-15
KMB,9.077913e-15
BF.B,9.011497e-15
SNPS,8.985706e-15
TROW,8.985152e-15
COO,8.9801815e-15
HAS,8.919397e-15
GPC,8.9137444e-15
BMY,8.913427e-15
CLX,8.898939e-15
HUM,8.891599e-15
BAX,8.874971e-15
PARA,8.8046364e-15
NWSA,8.804134e-15
UHS,8.749131e-15
GM,8.720668e-15
K,8.589611e-15
HSIC,8.488648e-15
KHC,8.4116775e-15
LKQ,8.287581e-15
AME,8.173984e-15
FAST,8.103023e-15
CDNS,7.901934e-15
FMC,7.892023e-15
XYL,7.820378e-15
DOW,7.603792e-15
MNST,7.547834e-15
CMCSA,7.538628e-15
VICI,7.536139e-15
MRK,7.53043e-15
WY,7.478747e-15
SJM,7.437796e-15
RMD,7.257186e-15
TPR,7.19452e-15
HSY,7.0675904e-15
CPB,6.9850792e-15
PODD,6.9642545e-15
GIS,6.885693e-15
HON,6.7888492e-15
DG,6.631765e-15
TEL,6.6184906e-15
ROST,6.4756846e-15
CAG,6.4671927e-15
FOXA,6.4079076e-15
AAL,6.393618e-15
PPG,6.306439e-15
MO,6.2664747e-15
ALB,6.2092466e-15
BBY,6.1966813e-15
MCD,5.571621e-15
ZBH,5.248651e-15
TGT,4.5784896e-15
