,Weight
Cash,0.7431907
BKNG,0.06696992
NVR,0.033019643
FICO,0.030212875
AZO,0.026125466
MPWR,0.024514023
TDG,0.0226178
MTD,0.021021541
GWW,0.017543754
BLK,0.014779417
URI,9.641976e-07
AMP,3.0816025e-07
EQIX,2.0476887e-07
REGN,1.5280428e-07
COST,1.4926755e-07
IRM,1.3819806e-07
KLAC,1.3551733e-07
JPM,9.762264e-08
GRMN,9.455285e-08
MLM,9.140323e-08
LIN,9.0612026e-08
IBM,8.6752074e-08
INTU,8.5756845e-08
LLY,8.144814e-08
MSCI,7.269358e-08
FDS,6.82694e-08
PTC,5.0034295e-08
IT,4.9895462e-08
WAT,3.8187423e-08
FFIV,3.800303e-08
ZBRA,3.1528877e-08
MCO,2.9481438e-08
ADBE,2.8729241e-08
POOL,2.8190973e-08
TDY,2.790746e-08
CMI,2.4803699e-08
CE,2.3802937e-08
WAB,2.3356025e-08
TYL,2.314912e-08
IDXX,2.3113248e-08
META,2.2927841e-08
ICE,2.258013e-08
TMO,2.2350918e-08
MA,2.1952587e-08
PH,2.163846e-08
GS,2.141619e-08
CEG,2.0587374e-08
AMGN,1.974647e-08
AKAM,1.945815e-08
MOH,1.9357849e-08
AVGO,1.9109926e-08
NOW,1.9018113e-08
AXON,1.868492e-08
ACN,1.7499525e-08
NFLX,1.7224565e-08
TRGP,1.7082725e-08
VRTX,1.5403504e-08
AON,1.5250851e-08
AMZN,1.4838904e-08
DHR,1.4768031e-08
KEYS,1.3927824e-08
IP,1.38860115e-08
CRM,1.38367e-08
MSFT,1.34926035e-08
ABBV,1.2854507e-08
ECL,1.2823147e-08
TT,1.257994e-08
QCOM,1.2558144e-08
SPGI,1.249796e-08
UNH,1.2394743e-08
ETN,1.2270768e-08
NVDA,1.1992963e-08
GE,1.1929851e-08
CHTR,1.1843728e-08
AMD,1.1784774e-08
PM,1.1494402e-08
CAT,1.1263693e-08
SNPS,1.1177834e-08
BIO,1.0921889e-08
ADSK,1.0793443e-08
RSG,1.0747411e-08
V,1.0348854e-08
PSX,1.0291638e-08
AXP,1.01964375e-08
LDOS,1.0184184e-08
ANSS,1.0131378e-08
AIZ,9.778385e-09
DE,9.757405e-09
MCK,9.598208e-09
ROP,9.531433e-09
ESS,9.03479e-09
ADI,8.93442e-09
MPC,8.861222e-09
MAR,8.754933e-09
STE,8.6874055e-09
CME,8.602167e-09
AVY,8.481348e-09
FANG,8.344544e-09
CI,8.168111e-09
SHW,8.1117735e-09
EPAM,7.927652e-09
ANET,7.890339e-09
HLT,7.888732e-09
CDW,7.825744e-09
WFC,7.798934e-09
LH,7.738728e-09
PWR,7.700875e-09
PAYC,7.669205e-09
CRL,7.486024e-09
RL,7.445423e-09
MKTX,7.3922717e-09
WST,7.3637842e-09
BR,7.2944166e-09
PNC,7.262695e-09
HD,7.1774138e-09
PANW,7.1678334e-09
ALGN,7.1260273e-09
AJG,7.013813e-09
TRV,6.9692594e-09
SNA,6.698783e-09
CB,6.6444854e-09
PGR,6.5569328e-09
ISRG,6.536569e-09
GOOGL,6.4847634e-09
TFX,6.394107e-09
ROK,6.362821e-09
MU,6.3602212e-09
APD,6.179754e-09
IQV,6.1684444e-09
VRSK,6.1112924e-09
EFX,6.0686833e-09
VLO,6.032864e-09
DPZ,5.9497625e-09
SPG,5.7926632e-09
TMUS,5.742094e-09
PKG,5.7151603e-09
AFL,5.7047296e-09
QRVO,5.6537743e-09
PSA,5.652145e-09
HII,5.6101763e-09
PNR,5.5486495e-09
COP,5.5265414e-09
EOG,5.5214864e-09
GNRC,5.434659e-09
CBOE,5.4201155e-09
BRK.B,5.2892237e-09
NXPI,5.1966245e-09
GD,5.174589e-09
FDX,5.1568003e-09
NOC,5.1327587e-09
LMT,5.1101603e-09
FSLR,5.1020725e-09
NRG,5.054348e-09
NDSN,5.048894e-09
UNP,5.0197912e-09
A,4.995398e-09
ALL,4.964723e-09
WTW,4.936006e-09
MSI,4.8838897e-09
GL,4.8821494e-09
AMAT,4.8499658e-09
CTAS,4.81459e-09
DLR,4.784741e-09
TSLA,4.742801e-09
PRU,4.734638e-09
ADP,4.731364e-09
ULTA,4.724307e-09
RVTY,4.680436e-09
LEN,4.5503326e-09
HES,4.5159503e-09
VMC,4.400507e-09
ILMN,4.3669233e-09
EXPE,4.353334e-09
RJF,4.3383004e-09
HIG,4.2657806e-09
MMC,4.24018e-09
ELV,4.2349275e-09
J,4.2177737e-09
PHM,4.2131147e-09
TXN,4.2055865e-09
JBHT,4.17029e-09
ORCL,4.135961e-09
MRNA,4.0669694e-09
FI,4.0613495e-09
JNJ,4.0516053e-09
LRCX,3.9668158e-09
ODFL,3.9229486e-09
EXPD,3.906638e-09
DUK,3.8782764e-09
IEX,3.825755e-09
AAPL,3.7447765e-09
MHK,3.6595633e-09
NUE,3.6504197e-09
PCAR,3.6159487e-09
EXR,3.5202674e-09
IR,3.5150884e-09
ENPH,3.5107734e-09
SO,3.5036696e-09
HUM,3.4910463e-09
GPN,3.3869256e-09
BA,3.339349e-09
ITW,3.2937049e-09
ZTS,3.2581653e-09
NSC,3.2410625e-09
TER,3.2332188e-09
CBRE,3.2149101e-09
SWKS,3.2128313e-09
STX,3.1846963e-09
BIIB,3.1780085e-09
STZ,3.171549e-09
PAYX,3.1670762e-09
DGX,3.0656637e-09
SYK,3.0585179e-09
CDNS,3.0383622e-09
MTB,3.032547e-09
CVS,3.0220042e-09
SLB,2.9926857e-09
NTAP,2.9615448e-09
EBAY,2.9582476e-09
GILD,2.9521783e-09
PFG,2.8981086e-09
OKE,2.893229e-09
DHI,2.886071e-09
INTC,2.806679e-09
ZION,2.7949973e-09
LOW,2.7812381e-09
SBAC,2.7809346e-09
NDAQ,2.763416e-09
CVX,2.7597804e-09
CARR,2.7509905e-09
EA,2.6477864e-09
TSCO,2.645038e-09
HCA,2.6234572e-09
JKHY,2.6191838e-09
ACGL,2.6157159e-09
AVB,2.5992077e-09
COF,2.5778581e-09
IFF,2.5731604e-09
MMM,2.5115257e-09
RMD,2.5100566e-09
PODD,2.507461e-09
DTE,2.4666476e-09
LYV,2.459198e-09
BXP,2.4509086e-09
RHI,2.4123785e-09
AMT,2.385332e-09
APH,2.3790667e-09
LHX,2.3671705e-09
PLD,2.3279827e-09
ETR,2.3144726e-09
PEG,2.3053768e-09
BDX,2.2657562e-09
RCL,2.2048283e-09
WHR,2.1795747e-09
ATO,2.1785174e-09
DXCM,2.1742914e-09
FRT,2.1507556e-09
MS,2.1440099e-09
WM,2.129058e-09
PG,2.1228335e-09
WDC,2.1148874e-09
AWK,2.0975681e-09
STLD,2.0938098e-09
HAL,2.089716e-09
MET,2.0775028e-09
FTNT,2.0121946e-09
TSN,1.978752e-09
WMB,1.9624369e-09
ON,1.9608988e-09
TTWO,1.9445205e-09
CF,1.896674e-09
DOV,1.887264e-09
ED,1.8850306e-09
WELL,1.8793345e-09
ABT,1.8676887e-09
FTV,1.8650224e-09
SRE,1.8536492e-09
PNW,1.8291642e-09
MCHP,1.8144891e-09
LW,1.7864586e-09
ETSY,1.77916e-09
ALLE,1.7721647e-09
DVA,1.754161e-09
L,1.7364676e-09
XOM,1.7141678e-09
BG,1.6923026e-09
WMT,1.6920493e-09
PEP,1.6863624e-09
PYPL,1.6803947e-09
TECH,1.6773021e-09
EIX,1.671492e-09
USB,1.6711028e-09
MAA,1.6501096e-09
SYF,1.5900006e-09
CSCO,1.581298e-09
UHS,1.565938e-09
CL,1.5638261e-09
DIS,1.551547e-09
DRI,1.5458618e-09
C,1.545013e-09
OMC,1.5440298e-09
MAS,1.540042e-09
TRMB,1.5376705e-09
DD,1.5294447e-09
STT,1.526329e-09
FCX,1.5118229e-09
WRB,1.5084735e-09
CINF,1.5068281e-09
ARE,1.5014834e-09
SWK,1.4950544e-09
AEP,1.4895754e-09
AEE,1.4517255e-09
APA,1.449485e-09
SCHW,1.4390291e-09
NEM,1.437673e-09
CHD,1.4362043e-09
CMA,1.4331517e-09
UPS,1.4302256e-09
NTRS,1.4148906e-09
NEE,1.4147611e-09
BRO,1.3894803e-09
CPT,1.3878619e-09
EMN,1.3788802e-09
CAH,1.3775923e-09
NKE,1.372466e-09
EL,1.3530882e-09
TXT,1.3206635e-09
BAC,1.2948341e-09
DLTR,1.2853634e-09
EMR,1.2841582e-09
AOS,1.2834583e-09
GEHC,1.2793063e-09
HSY,1.2574987e-09
REG,1.2512316e-09
VRSN,1.2483587e-09
OTIS,1.2389978e-09
CFG,1.2301882e-09
CMS,1.2285187e-09
GPC,1.2178782e-09
CNC,1.2170651e-09
FIS,1.2079773e-09
LYB,1.2079346e-09
BKR,1.2041486e-09
YUM,1.1990762e-09
GEN,1.1923004e-09
EQT,1.1889908e-09
CMG,1.1837863e-09
ALB,1.1658843e-09
VTR,1.1657219e-09
TAP,1.1651254e-09
OXY,1.1620022e-09
HON,1.152262e-09
APTV,1.1396399e-09
AIG,1.1385911e-09
CLX,1.1331374e-09
MGM,1.1264941e-09
CSGP,1.1256364e-09
AME,1.1168848e-09
DVN,1.091307e-09
SBUX,1.0906774e-09
AAP,1.0830719e-09
TJX,1.0807958e-09
CCI,1.061676e-09
TFC,1.0610786e-09
BALL,1.055451e-09
CZR,1.0551177e-09
MCD,1.0509631e-09
DG,1.022479e-09
LNT,1.0198508e-09
KO,1.0189868e-09
D,1.0098921e-09
MRK,1.008677e-09
CHRW,1.0064887e-09
WEC,1.0060314e-09
BK,9.95319e-10
WYNN,9.854528e-10
KMX,9.750859e-10
MDT,9.746398e-10
ALK,9.715546e-10
KMB,9.391655e-10
EW,9.373406e-10
EVRG,9.371713e-10
XYL,9.350375e-10
ROL,9.308835e-10
KR,9.295238e-10
SEDG,9.1334174e-10
LUV,9.1322117e-10
INCY,9.114399e-10
RTX,9.1075847e-10
HWM,9.086008e-10
TEL,9.0638724e-10
EQR,9.0401825e-10
ROST,8.9967106e-10
TROW,8.992242e-10
FITB,8.965992e-10
CTSH,8.9157903e-10
ES,8.9134733e-10
PPL,8.907599e-10
SJM,8.4560053e-10
MTCH,8.4196383e-10
XEL,8.379826e-10
O,8.34429e-10
COO,8.2576795e-10
HOLX,8.161472e-10
BBWI,7.9583995e-10
ORLY,7.7639467e-10
LVS,7.742176e-10
EXC,7.719063e-10
FMC,7.7084933e-10
PPG,7.6930873e-10
MDLZ,7.664288e-10
HPQ,7.655993e-10
MKC,7.3468964e-10
TGT,7.0871353e-10
NI,7.006511e-10
FE,6.939199e-10
JCI,6.7344164e-10
MOS,6.636338e-10
CPRT,6.600774e-10
KEY,6.499721e-10
CTVA,6.4966094e-10
SYY,6.4319433e-10
BF.B,6.3235606e-10
ZBH,6.3222605e-10
ADM,6.3112376e-10
UAL,6.2189565e-10
VFC,6.2032324e-10
HSIC,5.989771e-10
PFE,5.98665e-10
SEE,5.9009553e-10
BSX,5.77473e-10
INVH,5.71296e-10
BMY,5.4968435e-10
CTRA,5.4286464e-10
HAS,5.342335e-10
BBY,5.155673e-10
DAL,5.127077e-10
GIS,5.030502e-10
NWL,5.004432e-10
GLW,4.9201426e-10
CSX,4.914149e-10
CNP,4.82173e-10
BWA,4.7417115e-10
HRL,4.737241e-10
RF,4.6846627e-10
CMCSA,4.5989015e-10
MNST,4.5205473e-10
VZ,4.4057163e-10
BEN,4.3722045e-10
KDP,4.2895343e-10
DOW,4.249617e-10
KMI,4.0784848e-10
VTRS,4.0695392e-10
IPG,4.0603126e-10
HPE,4.022141e-10
LNC,4.0192816e-10
GM,3.98618e-10
TPR,3.9212855e-10
UDR,3.861917e-10
K,3.7571946e-10
T,3.5765033e-10
LKQ,3.5641487e-10
CPB,3.5458161e-10
DXC,3.503136e-10
HBAN,3.46519e-10
XRAY,3.417481e-10
WY,3.3786648e-10
OGN,3.3691577e-10
HST,3.264549e-10
BAX,3.2232242e-10
PCG,3.10508e-10
IVZ,2.9413713e-10
FAST,2.9026972e-10
KIM,2.8623262e-10
NCLH,2.828542e-10
NWSA,2.7609662e-10
CCL,2.7489683e-10
MO,2.7357003e-10
KHC,2.7161953e-10
WBA,2.5721686e-10
VICI,2.5683317e-10
AES,2.553222e-10
WBD,2.492008e-10
PARA,2.4630464e-10
FOXA,2.2042557e-10
F,2.0293676e-10
CAG,1.7867578e-10
AAL,1.2118817e-10
AMCR,1.1593809e-10
