,Weight
MPWR,0.51197076
Cash,0.48457173
MTD,0.0034566908
FICO,6.1011434e-07
BKNG,1.7472203e-07
GRMN,3.909632e-11
PTC,1.8907816e-11
FFIV,1.5484926e-11
IP,7.416929e-12
IBM,1.0859214e-12
TRGP,5.846543e-13
AMP,4.5261844e-13
IRM,4.1330698e-13
PM,3.7720218e-13
JPM,3.570498e-13
WAB,3.4065527e-13
ZBRA,3.3819944e-13
ICE,3.269003e-13
URI,3.1070518e-13
LIN,2.973228e-13
NVR,2.74171e-13
FDS,2.71787e-13
WAT,2.5929562e-13
AKAM,2.5247399e-13
CE,2.4741033e-13
AXON,2.2327437e-13
MSCI,1.9249733e-13
MLM,1.8981206e-13
ZION,1.789885e-13
IT,1.7514729e-13
WFC,1.7309972e-13
AVGO,1.7233772e-13
INTC,1.7131808e-13
NWL,1.7116267e-13
PNR,1.6874834e-13
CEG,1.6542305e-13
INTU,1.5974716e-13
POOL,1.5894076e-13
CMI,1.5446417e-13
KEYS,1.4989041e-13
ANET,1.4514331e-13
COST,1.3961122e-13
KEY,1.3849275e-13
REGN,1.3663966e-13
AIZ,1.2750303e-13
SLB,1.2448755e-13
ACN,1.2123278e-13
AMGN,1.1568242e-13
PSX,1.149747e-13
BR,1.13587315e-13
TDG,1.11913374e-13
BLK,1.1097937e-13
DHR,1.08440844e-13
EQIX,1.0828519e-13
MCO,1.07678847e-13
HAL,1.0759493e-13
ADBE,1.05292226e-13
AZO,1.0398553e-13
MU,1.0352656e-13
EBAY,1.0352133e-13
NRG,1.02152695e-13
RHI,1.0118021e-13
GEN,1.0001406e-13
MA,9.983182e-14
QRVO,9.89917e-14
AFL,9.720576e-14
ABBV,9.443804e-14
MAR,9.386572e-14
NDAQ,9.3636246e-14
NVDA,9.351575e-14
STE,9.138068e-14
APH,9.096302e-14
COP,9.049899e-14
CME,9.0007246e-14
V,8.867634e-14
WMB,8.79588e-14
AMZN,8.6458937e-14
PAYC,8.324154e-14
MPC,8.322841e-14
APA,8.234289e-14
LLY,8.228862e-14
SPG,8.2283084e-14
EOG,8.1275495e-14
CTAS,7.97911e-14
AXP,7.844366e-14
CARR,7.7602665e-14
PRU,7.7598545e-14
AVY,7.747e-14
PFG,7.6343425e-14
FANG,7.496283e-14
BKR,7.3821097e-14
A,7.306071e-14
GWW,7.285704e-14
HLT,7.2658764e-14
TDY,7.1528016e-14
CSCO,7.137966e-14
RVTY,7.1234095e-14
GS,7.113271e-14
TT,7.0639295e-14
EPAM,7.032967e-14
LH,7.031723e-14
CBRE,6.989319e-14
PCAR,6.8936623e-14
PWR,6.881774e-14
CRM,6.876844e-14
TYL,6.856373e-14
ESS,6.8376626e-14
PH,6.8111003e-14
ADI,6.770568e-14
BIO,6.757198e-14
AMD,6.671453e-14
RL,6.6666555e-14
USB,6.646842e-14
TMO,6.6181544e-14
ETN,6.617467e-14
IDXX,6.582999e-14
PHM,6.5554475e-14
QCOM,6.498349e-14
LRCX,6.434245e-14
PNC,6.3481365e-14
BXP,6.3216346e-14
OKE,6.2913664e-14
SNA,6.280852e-14
CBOE,6.260781e-14
